ID;Type;Category;Title;Description;Intention;Example;Implementation
RF-25.3;Functional;Data;Result as Set[date];Set ensures O(1) lookup in is_working_day - duplicates are discarded.;The scheduler calls is_working_day for every processed day; O(1) vs O(n) is critical for long projects.;;src/schedule/loader.py:L56-65 + src/core/time_calc.py:L11-25
RF-26;Functional;Audit;Transformation Trace Log;The system must generate a JSON log (transformation_log.json) with all graph mutations (zero-duration task removal and drawing consolidation).;Automatic graph mutations hinder auditing - the log provides full transparency on why dates changed.;;src/schedule/project.py:L68-69 + L277-285 + L365-375 + simulate_project.py:L101-107
RNF-01;Non-Functional;Architecture;Modular Structure in Python Package;src/ divided into core/, schedule/, and export/ by responsibility.;Separation of concerns reduces coupling, facilitates unit tests, and allows swapping a module without affecting others.;;src/ (directory structure)
RNF-01.1;Non-Functional;Architecture;core/ Module;Domain models (Task, ProjectMilestone, TaskType, CustomizationType) and time calculation.;Isolates pure domain without I/O dependencies or specific business logic.;;src/core/models.py + src/core/time_calc.py
RNF-01.2;Non-Functional;Architecture;schedule/ Module;loader.py (I/O), engine.py (algorithms), project.py (orchestration).;Each file has a single responsibility - engine.py can be tested without I/O.;;src/schedule/loader.py + src/schedule/engine.py + src/schedule/project.py
RNF-01.3;Non-Functional;Architecture;export/ Module;csv_export, mermaid, plot, gantt_interactive — one exporter per format.;Adding a new export format does not require modifying existing ones.;;src/export/
RNF-02;Non-Functional;Configuration;Centralized Config via src/config.py;All paths and global parameters in src/config.py using pathlib.Path (src/config.py is the active config used by all modules).;A single point of change for adapting the project to a new directory structure.;;src/config.py:L1-26
RNF-02.1;Non-Functional;Configuration;__file__ Derived BASE_DIR;BASE_DIR = Path(__file__).resolve().parent.parent - all paths derive from it.;Ensures operation independent of the Python process's working directory.;;src/config.py:L4
RNF-02.2;Non-Functional;Configuration;Automatic OUTPUT_DIR Creation;OUTPUT_DIR.mkdir(parents=True) on the first run if it doesn't exist.;Zero-setup experience: the user does not need to create directories manually.;;simulate_project.py:L34-37
RNF-02.3;Non-Functional;Configuration;Global DEBUG Flag;config.DEBUG controls all diagnostic prints.;A single flag disables all prints without manually commenting each occurrence in the code.;;src/config.py:L18
RNF-03;Non-Functional;Compatibility;Legacy Format Backward Compatibility;Loader accepts flat array without modification - settings returns {}.;Existing projects do not need to migrate their project_config.json to continue working.;;src/schedule/loader.py:L30-32
RNF-04;Non-Functional;Performance;O(log n) Scheduler with heapq;Binary priority queues for ready and active task selection.;Linear search alternative would be O(n) per event - for projects with hundreds of tasks, the difference is significant.;;src/schedule/engine.py:L93-104
RNF-05;Non-Functional;Distribution;Self-Contained HTML without Server;gantt_interactive.html works on file:// without local HTTP server.;Facilitates distribution via email or storage in shared drives without infrastructure.;;src/export/gantt_interactive.py:L1348-1354 (self-contained HTML write)
RNF-06;Non-Functional;Frontend;Framework-less Frontend;Vis.js Timeline via CDN + vanilla CSS and JS, no bundler or transpiler.;Zero build dependencies on frontend: the generated HTML is immediately functional.;;src/export/gantt_interactive.py:L354-356 (CDN links)
RNF-07;Non-Functional;Quality;Idempotent Execution;The same inputs always produce the same outputs without state persisting between runs.;Predictability is essential for comparing results of different project configurations.;;simulate_project.py (top-level execution)
RNF-07.1;Non-Functional;Quality;No State Between Runs;No mutable global variables persist from one run to the next.;Side effects between runs would make results non-reproducible.;;src/schedule/project.py:L18 (always new instance)
RNF-07.2;Non-Functional;Quality;Config-Based Start Date;project_start_date read from settings or config.py, never from datetime.now() in main flow.;datetime.now() would produce different results per run, breaking idempotency.;;src/schedule/project.py:L109-116
RNF-08;Non-Functional;Resilience;Matplotlib Graceful Degradation;Matplotlib ImportError captured - fallback to textual output.;CI/CD environments or headless servers should not fail due to a visualization dependency.;;src/export/plot.py:L15-20
RNF-09;Non-Functional;Observability;Conditional Debug Output;All diagnostic prints conditioned on config.DEBUG.;Silent production, verbose development — without code modification between the two.;;src/config.py:L18 + (usage in all modules)
RNF-10;Non-Functional;Performance;Output Suppression in Analysis Loop;contextlib.redirect_stdout(io.StringIO()) during plot_resource_vs_duration iterations.;Without suppression, N runs × K prints = proportional noise that degrades terminal UX.;;src/export/plot.py:L62
RNF-11;Non-Functional;Robustness;Robust Numeric Parsing;NaN, floats, empty strings, and non-numeric characters tolerated in successors, std_duration, document_id.;CSVs generated by Numbers/Excel frequently have formatting artifacts - the parser should not fail because of them.;;src/core/models.py:L70-82 + src/schedule/loader.py:L154-159
RNF-12;Non-Functional;Extensibility;Extensible Customization via File;New types added via new .csv + new line in customization_overview.csv without code changes.;Open/Closed Principle: the system is open for extension (new types) and closed for modification.;electronic_equipment and door_position already listed with 'nok' status;src/schedule/loader.py:L71-111 + src/export/csv_export.py:L7-37
RNF-13;Non-Functional;Integrity;Global Task ID Uniqueness;Incremental _next_task_id ensures unique IDs throughout the run.;Duplicate IDs would cause collisions in the task map and incorrect Gantt display.;;src/schedule/project.py:L66 + L150-156
RNF-14;Non-Functional;Integrity;Graph Reconstruction after Mutation;predecessors and successors_tasks cleared and repopulated after any task set change.;Outdated object references are the most common cause of silent bugs in mutable graphs.;;src/schedule/project.py:L304-315 + L403-412
RNF-15;Non-Functional;UX/UI;HTML Dark Mode Visual Design;Dark system design with Inter typography, subtle borders, hover transitions, styled tooltips, and light/dark theme toggle without external CSS.;Professional interface increases tool adoption by project managers.;;src/export/gantt_interactive.py:L358-851 (CSS block)
RNF-16;Non-Functional;Performance;Customization Dictionary Cache;Customization CSVs are loaded into in-memory hash-map dictionaries (keyed by document_name or part_document_type) at boot instead of reading from disk per task.;With dozens of milestones and hundreds of tasks, repeated disk reads would degrade performance (I/O burst).;;src/schedule/loader.py:L89-106
RNF-17;Non-Functional;Documentation;Technical Documentation via Docstrings;All code must be documented in the Google Python Style Guide standard inside .py files.;Facilitate maintenance and allow automatic technical manual generation;;src/ (all modules)
RNF-18;Non-Functional;Documentation;Automated PDF Generation (Sphinx);The system must have Sphinx configuration to convert docstrings into a professional PDF manual.;Professionalize the deliverable and ensure technical documentation is always in sync with code;;docs/conf.py + docs/Makefile
RNF-19;Non-Functional;Documentation;Requirements List Integration;The final PDF must import and format the system_specifications.csv file automatically.;Ensure total traceability between what was requested (Requirement) and what was coded (Function);;docs/index.rst
RNF-20;Non-Functional;Integrity;Transformation Audit Log (Text);The system generates audit.log (plain-text via Python logging) with INFO-level entries for each drawing consolidation and zero-duration task removal.;Complements the JSON trace log (RF-26) with a timestamped, human-readable audit trail.;;src/core/logger.py:L5-33 + src/schedule/project.py:L6 + L285 + L375
RNF-21;Non-Functional;Performance;Customization Lookup via Hash Map;Customization CSVs are converted to dictionaries (hash maps) keyed by document_name/part_document_type; O(1) lookup per task per customization.;Optimize processing speed, especially for Sensitivity Analysis (RF-15) which re-runs hundreds of times.;;src/schedule/loader.py:L96-106 + src/schedule/loader.py:L193-231
RNF-22;Non-Functional;Quality;Business Time Validation;Validate if working_start < working_end and if durations are non-negative, raising ValueError with clear messages.;Prevent incoherent calendar settings from causing infinite loops or impossible dates;;src/core/time_calc.py:L53-56
RNF-23;Non-Functional;Documentation;User Manual (README/Markdown);Explanatory file on how to prepare inputs (JSON/CSV) and interpret Mermaid and Gantt diagrams.;Reduce the learning curve for new Project Managers utilizing the tool;;README.md + docs/user_guide.md
